sequence_id	enzyme_type	length	organism	ec_number	pfam_domains	active_site_ok	len_ok	description
sp|P0DTQ4|TYRDC_ENTF3	TDC	620	Enterococcus faecalis (strain EnGen0310 / MMH594)	4.1.1.25	PF01276	Yes	Yes	sp|P0DTQ4|TYRDC_ENTF3 L-tyrosine decarboxylase OS=Enterococcus faecalis (strain EnGen0310 / MMH594) OX=1158653 GN=tyrDC PE=1 SV=1
sp|A0A481NV25|TYRDC_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	sp|A0A481NV25|TYRDC_ENTFC L-tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=1 SV=1
sp|J7GQ11|TYRDC_LEVBR	TDC	626	Levilactobacillus brevis	4.1.1.25	PF01276	Yes	Yes	sp|J7GQ11|TYRDC_LEVBR L-tyrosine decarboxylase OS=Levilactobacillus brevis OX=1580 GN=tdc PE=1 SV=1
tr|A0A4U4EF07|A0A4U4EF07_9ENTE	TDC	610	Enterococcus sp. VV15	4.1.1.25	PF01276	Yes	Yes	tr|A0A4U4EF07|A0A4U4EF07_9ENTE Tyrosine decarboxylase OS=Enterococcus sp. VV15 OX=2233541 GN=tdc PE=3 SV=1
tr|A0A377KIP0|A0A377KIP0_9ENTE	TDC	624	Enterococcus durans	4.1.1.25	PF01276	Yes	Yes	tr|A0A377KIP0|A0A377KIP0_9ENTE Tyrosine decarboxylase OS=Enterococcus durans OX=53345 GN=ddc_2 PE=4 SV=1
tr|A0A5N0YSQ5|A0A5N0YSQ5_9ENTE	TDC	610	Enterococcus durans	4.1.1.25	PF01276	Yes	Yes	tr|A0A5N0YSQ5|A0A5N0YSQ5_9ENTE Tyrosine decarboxylase OS=Enterococcus durans OX=53345 GN=tdc PE=3 SV=1
tr|A0A3Q9I8Z0|A0A3Q9I8Z0_9BACL	TDC	624	Paenibacillus lutimineralis	4.1.1.25	PF01276	Yes	Yes	tr|A0A3Q9I8Z0|A0A3Q9I8Z0_9BACL Tyrosine decarboxylase OS=Paenibacillus lutimineralis OX=2707005 GN=tdc PE=4 SV=1
tr|A0A4R4EBT3|A0A4R4EBT3_9BACL	TDC	625	Paenibacillus albiflavus	4.1.1.25	PF01276	Yes	Yes	tr|A0A4R4EBT3|A0A4R4EBT3_9BACL Tyrosine decarboxylase OS=Paenibacillus albiflavus OX=2545760 GN=tdc PE=4 SV=1
tr|A0A4S2C4N1|A0A4S2C4N1_ENTHR	TDC	624	Enterococcus hirae	4.1.1.25	PF01276	Yes	Yes	tr|A0A4S2C4N1|A0A4S2C4N1_ENTHR Tyrosine decarboxylase OS=Enterococcus hirae OX=1354 GN=ddc_1 PE=4 SV=1
tr|Q1JTV5|Q1JTV5_ENTFC	TDC	625	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|Q1JTV5|Q1JTV5_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=pheDC PE=4 SV=1
tr|A0A132Z680|A0A132Z680_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|A0A132Z680|A0A132Z680_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=4 SV=1
tr|A0A1A6G8N1|A0A1A6G8N1_ENTMU	TDC	624	Enterococcus mundtii	Unknown	PF01276	Yes	Yes	tr|A0A1A6G8N1|A0A1A6G8N1_ENTMU Decarboxylase OS=Enterococcus mundtii OX=53346 GN=tdc PE=4 SV=1
tr|A0A4R4EB76|A0A4R4EB76_9BACL	TDC	624	Paenibacillus albiflavus	4.1.1.25	PF01276	Yes	Yes	tr|A0A4R4EB76|A0A4R4EB76_9BACL Tyrosine decarboxylase OS=Paenibacillus albiflavus OX=2545760 GN=tdc PE=4 SV=1
tr|A0A4Z0JAG5|A0A4Z0JAG5_9LACO	TDC	627	Levilactobacillus suantsaiihabitans	4.1.1.25	PF01276	Yes	Yes	tr|A0A4Z0JAG5|A0A4Z0JAG5_9LACO Tyrosine decarboxylase OS=Levilactobacillus suantsaiihabitans OX=2487722 GN=tdc PE=4 SV=1
tr|A0A5B7T1A4|A0A5B7T1A4_9LACO	TDC	620	Companilactobacillus futsaii	4.1.1.25	PF01276	Yes	Yes	tr|A0A5B7T1A4|A0A5B7T1A4_9LACO Tyrosine decarboxylase OS=Companilactobacillus futsaii OX=938155 GN=tdc PE=4 SV=1
tr|A0A6I1MRG4|A0A6I1MRG4_9CLOT	TDC	622	Clostridium tarantellae	4.1.1.25	PF01276	Yes	Yes	tr|A0A6I1MRG4|A0A6I1MRG4_9CLOT Tyrosine decarboxylase OS=Clostridium tarantellae OX=39493 GN=tdc PE=4 SV=1
tr|A0A855XE53|A0A855XE53_LIMRT	TDC	616	Limosilactobacillus reuteri	4.1.1.25	PF01276	Yes	Yes	tr|A0A855XE53|A0A855XE53_LIMRT Tyrosine decarboxylase OS=Limosilactobacillus reuteri OX=1598 GN=tdc PE=4 SV=1
tr|A0AAW9MWE6|A0AAW9MWE6_9ENTE	TDC	625	Enterococcus sp. E5-162	4.1.1.25	PF01276	Yes	Yes	tr|A0AAW9MWE6|A0AAW9MWE6_9ENTE Tyrosine decarboxylase OS=Enterococcus sp. E5-162 OX=3002979 GN=tdc PE=4 SV=1
tr|A0A1A7U213|A0A1A7U213_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|A0A1A7U213|A0A1A7U213_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=4 SV=1
tr|A0A931AXB2|A0A931AXB2_9ENTE	TDC	610	Enterococcus lacertideformus	4.1.1.25	PF01276	Yes	Yes	tr|A0A931AXB2|A0A931AXB2_9ENTE Tyrosine decarboxylase OS=Enterococcus lacertideformus OX=2771493 GN=tdc PE=3 SV=1
tr|A0AA41EPF0|A0AA41EPF0_LEVBR	TDC	626	Levilactobacillus brevis	4.1.1.25	PF01276	Yes	Yes	tr|A0AA41EPF0|A0AA41EPF0_LEVBR Tyrosine decarboxylase OS=Levilactobacillus brevis OX=1580 GN=tdc PE=4 SV=1
tr|A0AAJ2JQI4|A0AAJ2JQI4_9BACL	TDC	623	Paenibacillus suaedae	4.1.1.25	PF01276	Yes	Yes	tr|A0AAJ2JQI4|A0AAJ2JQI4_9BACL Tyrosine decarboxylase OS=Paenibacillus suaedae OX=3077233 GN=tdc PE=4 SV=1
tr|A0AAW4R3J5|A0AAW4R3J5_BACCE	TDC	620	Bacillus cereus	4.1.1.25	PF01276	Yes	Yes	tr|A0AAW4R3J5|A0AAW4R3J5_BACCE Tyrosine decarboxylase OS=Bacillus cereus OX=1396 GN=tdc PE=4 SV=1
tr|A0AB74CWN7|A0AB74CWN7_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|A0AB74CWN7|A0AB74CWN7_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=4 SV=1
tr|A0A4V6XI25|A0A4V6XI25_9ENTE	TDC	624	Enterococcus sp. VV15	4.1.1.25	PF01276	Yes	Yes	tr|A0A4V6XI25|A0A4V6XI25_9ENTE Tyrosine decarboxylase OS=Enterococcus sp. VV15 OX=2233541 GN=tdc PE=4 SV=1
tr|A0A9X3XP58|A0A9X3XP58_ENTFC	TDC	611	Enterococcus faecium	4.1.1.25	PF01276	Yes	Yes	tr|A0A9X3XP58|A0A9X3XP58_ENTFC Tyrosine decarboxylase OS=Enterococcus faecium OX=1352 GN=tdc PE=4 SV=1
tr|A0AAP5JSA6|A0AAP5JSA6_9BACL	TDC	622	Paenibacillus larvae	4.1.1.25	PF01276	Yes	Yes	tr|A0AAP5JSA6|A0AAP5JSA6_9BACL Tyrosine decarboxylase OS=Paenibacillus larvae OX=1464 GN=tdc PE=4 SV=1
tr|A0AAP5JSG0|A0AAP5JSG0_9BACL	TDC	620	Paenibacillus larvae	4.1.1.25	PF01276	Yes	Yes	tr|A0AAP5JSG0|A0AAP5JSG0_9BACL Tyrosine decarboxylase OS=Paenibacillus larvae OX=1464 GN=tdc PE=4 SV=1
tr|A0AAW5XF62|A0AAW5XF62_9BACI	TDC	620	Bacillus cereus group sp. TH163-1LC	4.1.1.25	PF01276	Yes	Yes	tr|A0AAW5XF62|A0AAW5XF62_9BACI Tyrosine decarboxylase OS=Bacillus cereus group sp. TH163-1LC OX=3018057 GN=tdc PE=4 SV=1
tr|C7XV91|C7XV91_9LACO	TDC	621	Limosilactobacillus coleohominis 101-4-CHN	4.1.1.25	PF01276	Yes	Yes	tr|C7XV91|C7XV91_9LACO Tyrosine decarboxylase OS=Limosilactobacillus coleohominis 101-4-CHN OX=575594 GN=tdc PE=4 SV=1
tr|A0A4Q0VHJ1|A0A4Q0VHJ1_9LACO	TDC	628	Levilactobacillus suantsaii	4.1.1.25	PF01276	Yes	Yes	tr|A0A4Q0VHJ1|A0A4Q0VHJ1_9LACO Tyrosine decarboxylase OS=Levilactobacillus suantsaii OX=2292255 GN=tdc PE=4 SV=1
tr|A0A5P0ZYC5|A0A5P0ZYC5_9LACO	TDC	622	Companilactobacillus halodurans	4.1.1.25	PF01276	Yes	Yes	tr|A0A5P0ZYC5|A0A5P0ZYC5_9LACO Tyrosine decarboxylase OS=Companilactobacillus halodurans OX=2584183 GN=tdc PE=4 SV=1
tr|A0A7W1XH23|A0A7W1XH23_9ENTE	TDC	611	Enterococcus lactis	4.1.1.25	PF01276	Yes	Yes	tr|A0A7W1XH23|A0A7W1XH23_9ENTE Tyrosine decarboxylase OS=Enterococcus lactis OX=357441 GN=tdc PE=4 SV=1
